Time,requests
2020-07-23 09:09:20.177,1.0
2020-07-23 09:09:35.177,1.0
2020-07-23 09:09:50.177,2.0
2020-07-23 09:10:05.177,2.0
2020-07-23 09:10:20.177,2.0
2020-07-23 09:10:35.177,2.0
2020-07-23 09:10:50.177,2.0
2020-07-23 09:11:05.177,2.0
2020-07-23 09:11:20.177,3.0
2020-07-23 09:11:35.177,3.0
2020-07-23 09:11:50.177,4.0
2020-07-23 09:12:05.177,4.0
2020-07-23 09:12:20.177,5.0
2020-07-23 09:12:35.177,5.0
2020-07-23 09:12:50.177,6.0
2020-07-23 09:13:05.177,6.0
2020-07-23 09:13:20.177,7.0
2020-07-23 09:13:35.177,7.0
